model,layer,group,effect,n_items,estimate,ci_low,ci_high,positive_rate
gemma3_12b,0,false_friend,signed_causal_rescue,20,0.01440078616142273,-0.00946657992899418,0.03691626995801923,0.55
gemma3_12b,0,monolingual_polysemy,signed_causal_rescue,20,0.01192396879196167,-0.011944915652275085,0.03662793129682538,0.45
gemma3_12b,0,translation_control,signed_causal_rescue,16,-0.05031093955039978,-0.18931088224053383,0.08733303025364873,0.5
gemma3_12b,0,true_friend,signed_causal_rescue,20,0.06823421120643616,0.003414914906024933,0.145313945710659,0.6
gemma3_12b,4,false_friend,signed_causal_rescue,20,-0.020982527732849122,-0.0480914556235075,0.0048820350319147094,0.3
gemma3_12b,4,monolingual_polysemy,signed_causal_rescue,20,0.01548008918762207,-0.0036446103453636166,0.03476146847009659,0.65
gemma3_12b,4,translation_control,signed_causal_rescue,16,0.013617172837257385,-0.14764205776154996,0.1748491164296865,0.4375
gemma3_12b,4,true_friend,signed_causal_rescue,20,-0.015112978219985963,-0.09021403029561043,0.06398931682109826,0.4
gemma3_12b,8,false_friend,signed_causal_rescue,20,-0.009314393997192383,-0.03713741734623909,0.018091700524091682,0.35
gemma3_12b,8,monolingual_polysemy,signed_causal_rescue,20,0.00809299349784851,-0.011786784529685974,0.029776761978864665,0.55
gemma3_12b,8,translation_control,signed_causal_rescue,16,0.0617215372622022,-0.03938772110268387,0.1628585789352655,0.5625
gemma3_12b,8,true_friend,signed_causal_rescue,20,0.013478964567184448,-0.0587435020506382,0.09151962593197821,0.4
gemma3_12b,12,false_friend,signed_causal_rescue,20,0.012652698159217834,-0.014761560559272765,0.039585023224353734,0.65
gemma3_12b,12,monolingual_polysemy,signed_causal_rescue,20,0.0199371337890625,-0.011625935435295104,0.05539553135633468,0.6
gemma3_12b,12,translation_control,signed_causal_rescue,16,-0.00011666864156723022,-0.11682419311255217,0.1262614272534847,0.3125
