model,component,layer,group,effect,n_items,estimate,ci_low,ci_high,positive_rate
gemma3_12b,attention,0,false_friend,semantic_main,20,0.2604863286018372,-0.8254436084628105,1.5855616335570812,0.55
gemma3_12b,attention,0,false_friend,language_main,20,5.0956307530403135,2.1257479578256606,9.135181463360786,0.85
gemma3_12b,attention,0,monolingual_polysemy,semantic_main,20,-0.13572715520858764,-0.29999396294355396,0.006095098555088008,0.3
gemma3_12b,attention,0,true_friend,language_main,20,-0.6839045524597168,-1.8088044533133507,0.10581863969564433,0.35
gemma3_12b,attention,0,translation_control,language_main,16,-0.17746835947036743,-0.4776335686445236,0.1075802460312838,0.4375
gemma3_12b,attention,4,false_friend,semantic_main,20,0.06668033003807068,-0.1982071825861931,0.3318443673849105,0.5
gemma3_12b,attention,4,false_friend,language_main,20,0.056310099363327024,-0.15647036939859388,0.25974976435303687,0.6
gemma3_12b,attention,4,monolingual_polysemy,semantic_main,20,0.12690885066986085,-0.108583682179451,0.4302911615371703,0.35
gemma3_12b,attention,4,true_friend,language_main,20,0.19045710563659668,0.02385116636753083,0.3605463632941245,0.65
gemma3_12b,attention,4,translation_control,language_main,16,-0.06871781498193874,-0.3242431551218033,0.18105607628822043,0.4375
gemma3_12b,attention,8,false_friend,semantic_main,20,0.2984765410423279,-0.12051806300878525,0.9261058433353891,0.5
gemma3_12b,attention,8,false_friend,language_main,20,-0.009459781646728515,-0.1754141566157341,0.1824823461472988,0.3
gemma3_12b,attention,8,monolingual_polysemy,semantic_main,20,0.017202877998352052,-0.20910435080528259,0.25429895460605617,0.35
gemma3_12b,attention,8,true_friend,language_main,20,-0.17849842309951783,-0.4809793072938919,0.12216873884201047,0.5
gemma3_12b,attention,8,translation_control,language_main,16,-0.3549409657716698,-0.6685187947004875,-0.05627379566431047,0.25
gemma3_12b,attention,12,false_friend,semantic_main,20,-0.04392268061637879,-0.20870590090751645,0.14299507617950435,0.35
gemma3_12b,attention,12,false_friend,language_main,20,-0.16926448941230773,-0.5859631256759167,0.1488300549983978,0.6
gemma3_12b,attention,12,monolingual_polysemy,semantic_main,20,-0.02954310178756714,-0.12359091222286224,0.05264776974916457,0.4
gemma3_12b,attention,12,true_friend,language_main,20,0.19329075813293456,0.00915287256240846,0.37638671815395347,0.65
gemma3_12b,attention,12,translation_control,language_main,16,-0.07811152935028076,-0.3023425221443176,0.16416128575801847,0.3125
gemma3_12b,attention,16,false_friend,semantic_main,20,0.1037416160106659,-0.10519264906644821,0.4271354237198829,0.5
gemma3_12b,attention,16,false_friend,language_main,20,-0.15026747584342956,-0.27155904814600945,-0.02717845782637604,0.2
gemma3_12b,attention,16,monolingual_polysemy,semantic_main,20,-0.07866311073303223,-0.20376121461391447,0.026837540268897894,0.4
