model,control,false_id,control_id,distance
qwen3_8b,true_friend,zh_ja_001,zh_ja_common_028,7.406954732111838
qwen3_8b,true_friend,zh_ja_002,zh_ja_common_029,16.99600035412784
qwen3_8b,true_friend,zh_ja_003,zh_ja_common_018,27.006725682343866
qwen3_8b,true_friend,zh_ja_006,zh_ja_common_007,33.46104592700432
qwen3_8b,true_friend,zh_ja_008,zh_ja_common_024,17.313942569098543
qwen3_8b,true_friend,zh_ja_009,zh_ja_common_027,14.989027405793692
qwen3_8b,true_friend,zh_ja_011,zh_ja_common_010,37.4230309810817
qwen3_8b,true_friend,zh_ja_012,zh_ja_common_019,81.77388612760696
qwen3_8b,true_friend,zh_ja_013,zh_ja_common_016,15.548569784934886
qwen3_8b,true_friend,zh_ja_014,zh_ja_common_012,23.30884542461305
qwen3_8b,true_friend,zh_ja_015,zh_ja_common_035,32.13688936288574
qwen3_8b,true_friend,zh_ja_016,zh_ja_common_000,27.965916435051653
qwen3_8b,true_friend,zh_ja_019,zh_ja_common_015,21.334160213876263
qwen3_8b,true_friend,zh_ja_020,zh_ja_common_014,21.531252020454918
qwen3_8b,true_friend,zh_ja_021,zh_ja_common_025,6.617688200004554
qwen3_8b,true_friend,zh_ja_022,zh_ja_common_020,22.290678212856548
qwen3_8b,true_friend,zh_ja_023,zh_ja_common_034,12.324436041033163
qwen3_8b,true_friend,zh_ja_024,zh_ja_common_008,5.614892292667229
qwen3_8b,true_friend,zh_ja_027,zh_ja_common_009,19.794917655034816
qwen3_8b,true_friend,zh_ja_028,zh_ja_common_031,30.30018067764756
qwen3_8b,translation_control,zh_ja_001,zh_ja_common_032,8.590275091620802
qwen3_8b,translation_control,zh_ja_002,zh_ja_common_043,14.25650027790931
qwen3_8b,translation_control,zh_ja_003,zh_ja_common_026,20.141670160792163
qwen3_8b,translation_control,zh_ja_008,zh_ja_common_011,19.020367922766766
qwen3_8b,translation_control,zh_ja_009,zh_ja_common_048,10.007514895081014
qwen3_8b,translation_control,zh_ja_013,zh_ja_common_050,15.982189562811104
qwen3_8b,translation_control,zh_ja_014,zh_ja_common_030,25.814329375356742
qwen3_8b,translation_control,zh_ja_015,zh_ja_common_039,20.914059393101397
qwen3_8b,translation_control,zh_ja_016,zh_ja_common_022,31.92388767582543
qwen3_8b,translation_control,zh_ja_019,zh_ja_common_046,20.36689604707592
qwen3_8b,translation_control,zh_ja_020,zh_ja_common_021,22.96027679803946
qwen3_8b,translation_control,zh_ja_021,zh_ja_common_023,7.301196238331067
qwen3_8b,translation_control,zh_ja_022,zh_ja_common_033,18.141583050235937
qwen3_8b,translation_control,zh_ja_023,zh_ja_common_013,13.21532051777076
qwen3_8b,translation_control,zh_ja_024,zh_ja_common_047,8.3166731563652
